검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간,원본기사,복사율
KBS,1.뽐뿌,"=HYPERLINK(""https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754383&keyword=KBS"")",천연풀장 테네리페섬 _관광객 4명사망 1명실종,"2025년 12월 7일 사고 발생  사고 당시 카나리아 제도 지역 정부는 인근 해상에서 파도가 2~3.5m 에 달할 것으로 예상해 경보를 발령한 상태였다. 지역 주민들은 악천후로 수영장에 들어가지 못하도록 표지판과 울타리가 설치됐지만, 수영객들이 이를 무시했다고 말했다. 테네리페섬은 카나리아 제도에서 가장 큰 섬으로 '유럽의 하와이'로 불릴 정도로 인기 있는 휴양지다. 지난달에도 테네리페섬에서 관광객들이 해안에 있다가 파도에 휩쓸리는 사고로 3명이 숨지고 최소 15 명이 다쳤다고 CBS 는 전했다. 링크가면 사고 당시 영상나오는데 무섭네요 ㄷㄷㄷ (KBS뉴스)",2025-12-10,자장구일주,2025-12-10,"=HYPERLINK(""https://n.news.naver.com/mnews/article/421/0008650661?sid=104"")",0.371
MBC,1.뽐뿌,"=HYPERLINK(""https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754851&keyword=MBC"")","강훈식 유시민 영상, 대통령실 전 직원과 공유했다","강훈식 대통령 비서실장이 “유시민 작가 영상을 보고, 보도를 보고 내가 대통령실 전 직원과 공유했다”고 말했다. 앞서 유시민 전 노무현재단 이사장은 대통령실을 향해 “우리가 하는 모든 통화, 메시지가 모두 도청되고 있다, 조선일보나 모든 재래식 언론 기자들에게 다 들어간다고 생각해야 한다”고 말한 바 있다. 강 실장은 지난 9일 문화방송(MBC) 뉴스데스크에 출연해 “유시민 작가가 ‘이럴 때 더 조심해야 하고 오가는 말이나 여러 가지 메시지 등을 누군가 보고 있다고 생각해야 한다’고 했는데 대통령실 분위기는 어떠냐”는 질문에 이같이 말했다. 강 실장은 “‘(유시민 전 이사장의) 이 말이 틀린 말이 아니다, 우리가 지금 이럴 때 더 옷깃을 더 바투 잡고 더 긴장감을 가지고 대통령실에 임하는 자세를 가질 때만이 국민들이 우리를 더 신뢰하게 될 것이다’라고 (대통령실 직원들에게) 말씀을 전했다”고 덧붙였다. 유 전 이사장은 지난 2일 서울 영등포구 서울시티클럽에서 열린 ‘지속가능한 민주주의, 함께 다시 쓰다’ 토론회에 참석해 ‘김남국 인사청탁 논란’에 대해 “몹시 위험하다”며 “우리가 하는 모든 통화, 모든 메시지가 모두 도청되고 있다, 조선일보나 모든 재래식(레거시) 언론 기자들에게 다 들어간다고 생각(하고 행동)해야 한다”고 말했다. ================================ 죠습니다 :) 사방에 내란동조세력이죠",2025-12-10,Lumee,2025-12-10,"=HYPERLINK(""https://n.news.naver.com/mnews/article/028/0002780681?sid=100"")",0.875
MBC,1.뽐뿌,"=HYPERLINK(""https://www.ppomppu.co.kr/zboard/view.php?id=humor&no=719816&keyword=MBC"")",손님 들어와도 쳐다도 안본다..5조 올리브영 영업 비밀,"지난달 20일 서울 마포구 올리브영 상암 MBC 점. 매장 문을 열자 재고를 정리하던 직원이 인사를 건넸지만 시선은 여전히 상품 진열대에 있었다. 핸드크림을 발라보고 샴푸 코너에서 몇 가지 제품을 비교해 보는 15분 동안 다가와 말을 거는 이는 없었다. 쇼핑을 마치고 계산대에서 받은 질문은 딱 두개. “적립하시나요?”와 “쇼핑백 필요하신가요?” ‘말 걸지 않는’ 이 희한한(?) 응대 방식은 전국 어느 올리브영 매장을 가든 똑같다. 30분, 1시간을 머물러도 직원이 손님에게 다가와 물건을 권하거나 오래 구경한다고 눈치 주는 법이 없다. 고객이 부담없이 견본품을 체험해 보고 구경하도록 내버려 두는, 일명 ‘올리브영 하프( half ) 응대’다. 하프 응대의 원칙은 고객이 부르기 전까지는 다가가지 않는다는 것. 이런 의도된 무관심 전략은 10대 청소년은 물론 40대 중년 남성층도 올리브영으로 끌어들였다.  저도 올영 넘 좋음요 쾌적하게 쇼핑 즐길수 있어서",2025-12-10,윤거니사형가자,2025-12-10,"=HYPERLINK(""https://n.news.naver.com/mnews/article/025/0003488752?sid=101"")",0.357
MBC,1.뽐뿌,"=HYPERLINK(""https://www.ppomppu.co.kr/zboard/view.php?id=humor&no=719799&keyword=MBC"")","손님 들어와도 쳐다도 안본다, 5조 올리브영 영업 비밀","지난달 20일 서울 마포구 올리브영 상암 MBC 점. 매장 문을 열자 재고를 정리하던 직원이 인사를 건넸지만 시선은 여전히 상품 진열대에 있었다. 핸드크림을 발라보고 샴푸 코너에서 몇 가지 제품을 비교해 보는 15분 동안 다가와 말을 거는 이는 없었다. 쇼핑을 마치고 계산대에서 받은 질문은 딱 두개. “적립하시나요?”와 “쇼핑백 필요하신가요?” ‘말 걸지 않는’ 이 희한한(?) 응대 방식은 전국 어느 올리브영 매장을 가든 똑같다. 30분, 1시간을 머물러도 직원이 손님에게 다가와 물건을 권하거나 오래 구경한다고 눈치 주는 법이 없다. 고객이 부담없이 견본품을 체험해 보고 구경하도록 내버려 두는, 일명 ‘올리브영 하프( half ) 응대’다. 하프 응대의 원칙은 고객이 부르기 전까지는 다가가지 않는다는 것. 이런 의도된 무관심 전략은 10대 청소년은 물론 40대 중년 남성층도 올리브영으로 끌어들였다.",2025-12-10,ablanca,2025-12-10,"=HYPERLINK(""https://n.news.naver.com/mnews/article/025/0003488752?sid=101"")",0.366
MBC,1.뽐뿌,"=HYPERLINK(""https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754573&keyword=MBC"")","티아라 함은정, 새 일일 드라마 제작발표 사진","배우 함은정이 10일 오전 서울 상암동 MBC 신사옥에서 열린 새 일일드라마 '첫 번째 남자'(극본 서현주, 안진영, 연출 강태흠) 제작발표회에 참석해 포토타임을 갖고 있다. 함은정, 오현경, 윤선우, 박건일, 김민설, 이재황, 정찬 주연의 '첫 번째 남자'는 복수를 위하여 다른 사람의 삶을 살게 된 여자와 자신의 욕망을 위하여 다른 사람의 삶을 빼앗은 여자의 목숨을 건 치명적 대결을 그린 드라마로 오는 15일 첫 방송 예정이다",2025-12-10,,2025-12-10,"=HYPERLINK(""https://m.entertain.naver.com/article/421/0008652823"")",0.47
MBC,1.뽐뿌,"=HYPERLINK(""https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754528&keyword=MBC"")",MBC) 독도는.. 다카아치 망언에 '이건 아냐' 이재명 즉각 대응,윤석열 정부 독도에 일본 군함이 들어왔다. 정권 바귀었다. Your browser does not support the video tag.,2025-12-10,,2025-12-10,"=HYPERLINK(""https://n.news.naver.com/mnews/article/018/0005337492?sid=100"")",0.098
MBC,1.뽐뿌,"=HYPERLINK(""https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754488&keyword=MBC"")","강훈식) 유시민 영상, 대통령실 전 직원과 공유했다","강훈식 대통령 비서실장이 “유시민 작가 영상을 보고, 보도를 보고 내가 대통령실 전 직원과 공유했다”고 말했다. 앞서 유시민 전 노무현재단 이사장은 대통령실을 향해 “우리가 하는 모든 통화, 메시지가 모두 도청되고 있다, 조선일보나 모든 재래식 언론 기자들에게 다 들어간다고 생각해야 한다”고 말한 바 있다. 강 실장은 지난 9일 문화방송(MBC) 뉴스데스크에 출연해 “유시민 작가가 ‘이럴 때 더 조심해야 하고 오가는 말이나 여러 가지 메시지 등을 누군가 보고 있다고 생각해야 한다’고 했는데 대통령실 분위기는 어떠냐”는 질문에 이같이 말했다.",2025-12-10,하늘바람터,2025-12-10,"=HYPERLINK(""https://n.news.naver.com/mnews/article/028/0002780681?sid=100"")",0.698
MBC,1.뽐뿌,"=HYPERLINK(""https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754322&keyword=MBC"")","지드래곤 김태호 PD, 다시 만난다","지드래곤이 이끌고 김태호 PD가 연출하고 MBC 예능 프로그램 '굿데이' 두번째 시즌이 제작된다. 김태호 PD는 앞서 9일 서울 강남구 한국과학기술회관에서 열린 제30회 소비자의 날 KCA 문화연예 시상식에 참석, 수상소감 도중 ""'굿데이2'가 나온다""고 언급했다. 그간 '굿데이2' 제작 가능성이 수차례 제기돼 왔지만 연출자 김태호 PD가 직접 '굿데이2'가 만들어진다고 밝힌 것은 이번이 처음이다. 김태호 PD 등 제작진과 지드래곤은 '굿데이2'를 함께하는 데 뜻을 모으고 준비에 들어갔다. 현재 일정을 조율 중인 것으로 알려졌다.",2025-12-10,별빛나무,2025-12-10,,0.0
한겨레,1.뽐뿌,"=HYPERLINK(""https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754958&keyword=%C7%D1%B0%DC%B7%B9"")",검찰 공개영상?에 대한 백해룡의 코멘트,현장검증때 지들끼리 쑥덕거렸다고 모든걸 거짓으로 치부하기엔 나무위키를 읽어보면 이미 등록된 의심자가 아무 제지 없이 통과된것 자체가 설명이 안되는 듯 2025년 1월 24일 한겨레 의 단독 보도에 따르면 2023년 1월 23일부터 2월 27일까지 인천과 김해공항을 통해 총 12차례에 걸쳐 최대 111kg의 필로폰을 밀반입이 됐는데 이 과정에서 세관에 의해 특정된 마약 우범자들이 총 12명이었다. 세관은 이 12명을 사전정보분석시스템 아피스에 등록했지만 어째서인지 등록된 마약 밀매범 2명에 대해 세관의 어떠한 몸수색이나 체포도 없었고 결국 이 두명이 한국에 입국해서 대량의 마약 반입을 위한 거점을 마련했다고 한다. 그리고 이 마약 밀매범 2명이 우연히 마약수사팀도 아닌 강력팀 백해룡 수사팀이 체포하고 수사를 통해서 이들이 반입한 마약을 압수하면서 이 모든 일이 시작되게 된 것이었다. #,2025-12-10,라미니오스,2025-12-10,,0.0
매칭건수,7건,,,,,,,,
0.3 이상,5건,,,,,,,,
0.8 이상,1건,,,,,,,,
